"DELIVERY DATE",COMPANY,"PACKAGE ID","PRICE FUEL","WEIGHT COMPANY","DIM WEIGHT ROUND COMPANY","PRICE WEIGHT COMPANY","PEAKE SEASON PRICE COMPANY","PRICE BASE COMPANY","SURCHARGE PERCENTAGE COMPANY","SURCHAGE PRICE COMPANY","TOTAL PRICE COMPANY"
02-14-2023,"AMERICAN EAGLE",TEST_WILCM442,$4.444,3.00,3,$7.00,$0.00,$7.00,13.75%,$0.9625,$7.9625
05-31-2023,"AMERICAN EAGLE",AT000240001101617840,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
05-31-2023,"AMERICAN EAGLE",AT000040003100939190,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
05-31-2023,"AMERICAN EAGLE",AT000040003100939331,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
05-31-2023,"AMERICAN EAGLE",AT000040003100939370,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939376,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939404,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939412,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
05-31-2023,"AMERICAN EAGLE",AT000040003100939421,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939494,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939495,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939652,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939653,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939698,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939702,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939722,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939726,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939730,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939738,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939746,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-01-2023,"AMERICAN EAGLE",AT000040003100939871,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-02-2023,"AMERICAN EAGLE",AT000040003100939828,$3.860,1.50,2,$7.00,$0.00,$7.00,12.25%,$0.8575,$7.8575
06-08-2023,"AMERICAN EAGLE",AE-08-01,$3.800,1.00,1,$7.00,$0.00,$7.00,12.00%,$0.8400,$7.8400
06-09-2023,"AMERICAN EAGLE",AE-08-05,$3.800,41.00,41,$7.25,$0.00,$7.25,12.00%,$0.8700,$8.1200
06-08-2023,"AMERICAN EAGLE",AE-08-04,$3.800,31.00,31,$7.25,$0.00,$7.25,12.00%,$0.8700,$8.1200
06-09-2023,"AMERICAN EAGLE",AE-08-08,$3.800,71.00,71,$10.00,$0.00,$10.00,12.00%,$1.2000,$11.2000
06-09-2023,"AMERICAN EAGLE",AE-08-09,$3.800,81.00,81,$10.00,$0.00,$10.00,12.00%,$1.2000,$11.2000
06-09-2023,"AMERICAN EAGLE",AE-08-10,$3.800,91.00,91,$10.00,$0.00,$10.00,12.00%,$1.2000,$11.2000
08-11-2023,EIGHTVAPE,EV-08-2023-02,$0.000,2.00,2,$7.25,$0.00,$7.25,0.00%,$0.0000,$7.2500
