"DELIVERY DATE",COMPANY,"PACKAGE ID","PRICE FUEL","WEIGHT COMPANY","DIM WEIGHT ROUND COMPANY","PRICE WEIGHT COMPANY","PEAKE SEASON PRICE COMPANY","PRICE BASE COMPANY","SURCHARGE PERCENTAGE COMPANY","SURCHAGE PRICE COMPANY","TOTAL PRICE COMPANY"
01-04-2023,"INLAND LOGISTICS",67660741321,$0.000,0.00,0,$0.00,$0.00,$0.00,0.00%,$0.0000,$0.0000
01-04-2023,"INLAND LOGISTICS",67660763390,$0.000,0.00,0,$0.00,$0.00,$0.00,0.00%,$0.0000,$0.0000
01-09-2023,"INLAND LOGISTICS",67660765424,$4.550,7.30,8,$6.20,$0.00,$6.20,14.00%,$0.8680,$7.0680
01-04-2023,"INLAND LOGISTICS",67660767982,$0.000,0.00,0,$0.00,$0.00,$0.00,0.00%,$0.0000,$0.0000
01-04-2023,"INLAND LOGISTICS",67660769472,$0.000,0.00,0,$0.00,$0.00,$0.00,0.00%,$0.0000,$0.0000
01-04-2023,"INLAND LOGISTICS",67660780501,$0.000,0.00,0,$0.00,$0.00,$0.00,0.00%,$0.0000,$0.0000
01-05-2023,"INLAND LOGISTICS",67660793881,$0.000,0.00,0,$0.00,$0.00,$0.00,0.00%,$0.0000,$0.0000
01-05-2023,"INLAND LOGISTICS",67660793887,$0.000,0.00,0,$0.00,$0.00,$0.00,0.00%,$0.0000,$0.0000
01-05-2023,"INLAND LOGISTICS",67660793896,$0.000,0.00,0,$0.00,$0.00,$0.00,0.00%,$0.0000,$0.0000
01-03-2023,"INLAND LOGISTICS",67660799958,$0.000,0.00,0,$0.00,$0.00,$0.00,0.00%,$0.0000,$0.0000
01-04-2023,"INLAND LOGISTICS",INLAND103673041,$0.000,0.00,0,$0.00,$0.00,$0.00,0.00%,$0.0000,$0.0000
01-04-2023,"INLAND LOGISTICS",INLAND103763686,$0.000,0.00,0,$0.00,$0.00,$0.00,0.00%,$0.0000,$0.0000
05-23-2023,"INLAND LOGISTICS",INLAND103863072,$3.890,5.00,5,$6.20,$0.00,$6.20,12.25%,$0.7595,$6.9595
05-23-2023,"INLAND LOGISTICS",INLAND103862545,$3.890,3.00,3,$6.20,$0.00,$6.20,12.25%,$0.7595,$6.9595
05-31-2023,"INLAND LOGISTICS",INLD-00-10,$3.860,91.00,91,$10.00,$0.00,$10.00,12.25%,$1.2250,$11.2250
06-09-2023,"INLAND LOGISTICS",INLAND-07-02,$3.800,5.00,5,$6.20,$0.00,$6.20,12.00%,$0.7440,$6.9440
06-09-2023,"INLAND LOGISTICS",INLAND-07-03,$3.800,9.00,9,$6.20,$0.00,$6.20,12.00%,$0.7440,$6.9440
