DATE,HOUR,COMPANY,TEAM,"PACKAGE ID",WEIGHT,LENGTH,HEIGHT,WIDTH,CUIN,"DIESEL PRICE C","DIESEL PRICE T","DIM FACTOR C","DIM WEIGHT C","DIM WEIGHT ROUND C","PRICE WEIGHT C","PEAKE SEASON PRICE C","PRICE BASE C","SURCHARGE PERCENTAGE C","SURCHAGE PRICE C","TOTAL PRICE C","DIM FACTOR T","DIM WEIGHT T","DIM WEIGHT ROUND T","PRICE WEIGHT T","PEAKE SEASON PRICE C","PRICE BASE T","SURCHARGE PERCENTAGE T","SURCHAGE PRICE T","TOTAL PRICE T"
02-28-2023,14:25:00,EIGHTCIG,"4G SOLUTIONS",EV1891873,1.17,0.00,0.00,0.00,0.00,4.444,0.000,0,0.00,2,7.25,0.00,7.25,11.25,0.8156,8.0656,,,,,,,,,
02-28-2023,14:26:00,EIGHTCIG,"4G SOLUTIONS",EV1890976,1.61,0.00,0.00,0.00,0.00,4.444,0.000,0,0.00,2,7.25,0.00,7.25,11.25,0.8156,8.0656,,,,,,,,,
02-28-2023,14:27:00,EIGHTCIG,"4G SOLUTIONS",EV1892088,0.82,0.00,0.00,0.00,0.00,4.444,0.000,0,0.00,1,7.25,0.00,7.25,11.25,0.8156,8.0656,,,,,,,,,
02-28-2023,14:28:00,EIGHTCIG,"4G SOLUTIONS",EV1891733,3.15,0.00,0.00,0.00,0.00,4.444,0.000,0,0.00,4,7.25,0.00,7.25,11.25,0.8156,8.0656,,,,,,,,,
02-28-2023,14:29:00,EIGHTCIG,"4G SOLUTIONS",EV1891100,1.78,0.00,0.00,0.00,0.00,4.444,0.000,0,0.00,2,7.25,0.00,7.25,11.25,0.8156,8.0656,,,,,,,,,
02-28-2023,14:30:00,EIGHTCIG,"4G SOLUTIONS",EV1891676,0.60,0.00,0.00,0.00,0.00,4.444,0.000,0,0.00,1,7.25,0.00,7.25,11.25,0.8156,8.0656,,,,,,,,,
03-03-2023,10:32:00,EIGHTCIG,"Brooks Courier",EV1891181,0.65,0.00,0.00,0.00,0.00,4.444,0.000,0,0.00,1,7.25,0.00,7.25,11.25,0.8156,8.0656,,,,,,,,,
03-03-2023,10:33:00,EIGHTCIG,"Brooks Courier",EV1891393,1.70,0.00,0.00,0.00,0.00,4.444,0.000,0,0.00,2,7.25,0.00,7.25,11.25,0.8156,8.0656,,,,,,,,,
03-03-2023,10:34:00,EIGHTCIG,"Brooks Courier",EV1891156,3.25,0.00,0.00,0.00,0.00,4.444,0.000,0,0.00,4,7.25,0.00,7.25,11.25,0.8156,8.0656,,,,,,,,,
03-03-2023,10:32:00,"AMERICAN EAGLE","Brooks Courier",AT000040003100009093,1.48,0.00,0.00,0.00,0.00,4.444,0.000,0,0.00,2,7.00,0.00,7.00,13.75,0.9625,7.9625,,,,,,,,,
03-03-2023,10:33:00,"AMERICAN EAGLE","Brooks Courier",AT000040003100009458,6.77,0.00,0.00,0.00,0.00,4.444,0.000,0,0.00,7,7.00,0.00,7.00,13.75,0.9625,7.9625,,,,,,,,,
03-03-2023,10:34:00,"AMERICAN EAGLE","Brooks Courier",AT000040003100009758,5.87,0.00,0.00,0.00,0.00,4.444,0.000,0,0.00,6,7.00,0.00,7.00,13.75,0.9625,7.9625,,,,,,,,,
