shipment_id,status,date,hour,timezone,city_locality,state,lat,lon,pod_url
84670515652,CAN'T_LEAVE_IT_UNATTENDED,09-24-2022,08:40:15,America/New_York,,NY,,,
84670515651,CAN'T_LEAVE_IT_UNATTENDED,09-24-2022,08:40:08,America/New_York,,NY,,,
84670515651,DELIVERY,09-24-2022,08:41:05,America/New_York,,NY,,,https://d15p8tr8p0vffz.cloudfront.net/285eccfd4c9e8088f3fb7ab4/800x.png
67660011023,DELIVERY,09-24-2022,08:40:19,America/New_York,,NY,,,https://d15p8tr8p0vffz.cloudfront.net/27bdcc9eba05e62c2d067b17/800x.png
AE01,"ON HOLD",09-24-2022,08:50:57,America/New_York,,PA,,,
AE02,"ON HOLD",09-24-2022,08:50:57,America/New_York,,PA,,,
AE03,"ON HOLD",09-24-2022,08:50:57,America/New_York,,PA,,,
AE04,"ON HOLD",09-24-2022,08:50:57,America/New_York,,PA,,,
AE05,"ON HOLD",09-24-2022,08:50:57,America/New_York,,PA,,,
AE06,"ON HOLD",09-24-2022,08:50:57,America/New_York,,PA,,,
AE07,"ON HOLD",09-24-2022,08:50:57,America/New_York,,DE,,,
AE08,"ON HOLD",09-24-2022,08:50:57,America/New_York,,DE,,,
AE09,"ON HOLD",09-24-2022,08:50:57,America/New_York,,DE,,,
AE10,"ON HOLD",09-24-2022,08:50:57,America/New_York,,PA,,,
AE11,"ON HOLD",09-24-2022,08:50:57,America/New_York,,PA,,,
AE12,"ON HOLD",09-24-2022,08:50:57,America/New_York,,PA,,,
AE13,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE14,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE15,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE16,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE17,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE18,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE19,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE20,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE21,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE22,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE23,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE24,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE25,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE26,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE27,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE28,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE29,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE30,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE31,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE32,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE33,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE34,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE35,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE36,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE37,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE38,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE39,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE40,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE41,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE42,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE43,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE44,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE45,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE46,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE47,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE48,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE49,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE50,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE51,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE52,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE53,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE54,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE55,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE56,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE57,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE58,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE59,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE60,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE61,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE62,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE63,"ON HOLD",09-24-2022,08:50:58,America/New_York,,DE,,,
AE64,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE65,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE66,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE67,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE68,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE69,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE70,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
AE71,"ON HOLD",09-24-2022,08:50:58,America/New_York,,PA,,,
