TEAM,MIN W,MAX W,ROUTE,PRICE,COMPANY
4G SOLUTIONS,1,8,M10,$7.00,EightCig
4G SOLUTIONS,1,8,V12,$7.00,INLAND LOGISTICS
4G SOLUTIONS,1,8,MD2,$7.00,EightCig
4G SOLUTIONS,1,8,MD8,$7.00,INLAND LOGISTICS
4G SOLUTIONS,1,8,MD2,$7.00,INLAND LOGISTICS
4G SOLUTIONS,1,8,V10,$7.00,EightCig
4G SOLUTIONS,1,8,V10,$7.00,INLAND LOGISTICS
4G SOLUTIONS,1,8,MD1,$7.00,INLAND LOGISTICS
4G SOLUTIONS,1,8,V06,$7.00,INLAND LOGISTICS
4G SOLUTIONS,1,8,V08,$7.00,INLAND LOGISTICS
4G SOLUTIONS,1,8,M10,$7.00,INLAND LOGISTICS
4G SOLUTIONS,1,8,M12,$7.00,INLAND LOGISTICS
4G SOLUTIONS,1,8,V11,$7.00,INLAND LOGISTICS
4G SOLUTIONS,1,8,V10,$7.00,AMERICAN EAGLE
4G SOLUTIONS,9,50,V12,$7.00,INLAND LOGISTICS
4G SOLUTIONS,9,50,MD8,$7.00,INLAND LOGISTICS
4G SOLUTIONS,9,50,M10,$7.00,INLAND LOGISTICS
4G SOLUTIONS,9,50,V06,$7.00,INLAND LOGISTICS
4G SOLUTIONS,9,50,V08,$7.00,INLAND LOGISTICS
4G SOLUTIONS,9,50,MD2,$7.00,INLAND LOGISTICS
4G SOLUTIONS,9,50,MD1,$7.00,INLAND LOGISTICS
4G SOLUTIONS,9,50,V10,$7.00,INLAND LOGISTICS
4G SOLUTIONS,9,50,M12,$7.00,INLAND LOGISTICS
4G SOLUTIONS,9,50,V11,$7.00,INLAND LOGISTICS
ADIANS LLC,1,8,J3A,$5.13,EightCig
ADIANS LLC,1,8,J2E,$5.13,EightCig
ADIANS LLC,1,8,PA5,$5.13,EightCig
ADIANS LLC,1,8,J2E,$5.13,INLAND LOGISTICS
ADIANS LLC,1,8,Y4F,$5.13,INLAND LOGISTICS
ADIANS LLC,1,8,J3A,$5.13,INLAND LOGISTICS
ADIANS LLC,1,8,J2A,$5.13,AMERICAN EAGLE
ADIANS LLC,1,8,J2E,$5.13,AMERICAN EAGLE
ADIANS LLC,1,8,PA5,$5.13,AMERICAN EAGLE
ADIANS LLC,1,8,PA3,$5.13,INLAND LOGISTICS
ADIANS LLC,1,8,J2A,$5.13,INLAND LOGISTICS
ADIANS LLC,1,8,J2C,$5.13,INLAND LOGISTICS
ADIANS LLC,1,8,Y4C,$5.13,INLAND LOGISTICS
ADIANS LLC,9,50,J3A,$5.13,INLAND LOGISTICS
ADIANS LLC,9,50,J2E,$5.13,INLAND LOGISTICS
ADIANS LLC,9,50,Y4F,$5.13,INLAND LOGISTICS
ADIANS LLC,9,50,J2A,$5.13,INLAND LOGISTICS
ADIANS LLC,9,50,PA3,$5.13,INLAND LOGISTICS
AQUINO TRUCKING LLC,1,8,J3H,$4.50,INLAND LOGISTICS
AQUINO TRUCKING LLC,1,8,J3A,$4.50,INLAND LOGISTICS
AQUINO TRUCKING LLC,1,8,J3H,$4.50,EightCig
AQUINO TRUCKING LLC,9,50,J3H,$4.50,INLAND LOGISTICS
BELENTHIA TRANSPORT,1,8,PA3,$6.00,INLAND LOGISTICS
BELENTHIA TRANSPORT,1,8,PA8,$6.00,EightCig
BELENTHIA TRANSPORT,1,8,PA9,$6.00,EightCig
BELENTHIA TRANSPORT,1,8,PA3,$6.00,EightCig
BELENTHIA TRANSPORT,1,8,PA4,$6.00,EightCig
BELENTHIA TRANSPORT,1,8,PA5,$3.00,AMERICAN EAGLE
BELENTHIA TRANSPORT,1,8,PA2,$6.00,INLAND LOGISTICS
BELENTHIA TRANSPORT,1,8,PA4,$6.00,INLAND LOGISTICS
BELENTHIA TRANSPORT,1,8,PA9,$6.00,INLAND LOGISTICS
BELENTHIA TRANSPORT,1,8,PA5,$6.00,EightCig
BELENTHIA TRANSPORT,1,8,PA6,$6.00,EightCig
BELENTHIA TRANSPORT,1,8,PA6,$6.00,INLAND LOGISTICS
BELENTHIA TRANSPORT,1,8,PA8,$6.00,INLAND LOGISTICS
BELENTHIA TRANSPORT,1,8,PA9,$3.00,AMERICAN EAGLE
BELENTHIA TRANSPORT,9,50,PA3,$6.00,INLAND LOGISTICS
BELENTHIA TRANSPORT,9,50,PA6,$6.00,INLAND LOGISTICS
BELENTHIA TRANSPORT,9,50,PA2,$6.00,INLAND LOGISTICS
BELENTHIA TRANSPORT,9,50,PA4,$6.00,INLAND LOGISTICS
BELENTHIA TRANSPORT,9,50,PA9,$6.00,INLAND LOGISTICS
BELENTHIA TRANSPORT,9,50,PA8,$6.00,INLAND LOGISTICS
BELENTHIA TRANSPORT,9,50,PA5,$6.00,EightCig
