Zip Code,City,County,Type,State,Route Code,lalitude,longitude
19001,,,,,PA2,,
19003,,,,,PA2,,
19004,,,,,PA2,,
19006,,,,,PA2,,
19007,,,,,PA1,,
19008,,,,,PA3,,
19010,,,,,PA2,,
19012,,,,,PA2,,
19013,,,,,PA3,,
19014,,,,,PA3,,
19015,,,,,PA3,,
19018,,,,,PA3,,
19020,,,,,PA1,,
19021,,,,,PA1,,
19022,,,,,PA3,,
19023,,,,,PA3,,
19025,,,,,PA2,,
19026,,,,,PA3,,
19027,,,,,PA2,,
19030,,,,,PA1,,
19031,,,,,PA2,,
19033,,,,,PA3,,
19035,,,,,PA2,,
19036,,,,,PA3,,
19038,,,,,PA2,,
19040,,,,,PA2,,
19041,,,,,PA2,,
19043,,,,,PA3,,
19044,,,,,PA2,,
19046,,,,,PA2,,
19047,,,,,PA1,,
19050,,,,,PA3,,
19053,,,,,PA1,,
19054,,,,,PA1,,
19055,,,,,PA1,,
19056,,,,,PA1,,
19057,,,,,PA1,,
19060,,,,,PA3,,
19061,,,,,PA3,,
19066,,,,,PA2,,
19067,,,,,PA1,,
19070,,,,,PA3,,
19072,,,,,PA2,,
19074,,,,,PA3,,
19075,,,,,PA2,,
19078,,,,,PA3,,
19081,,,,,PA3,,
19082,,,,,PA3,,
19083,,,,,PA3,,
19086,,,,,PA3,,
19090,,,,,PA2,,
19094,,,,,PA3,,
19095,,,,,PA2,,
19096,,,,,PA2,,
19102,,,,,PA3,,
19103,,,,,PA2,,
19104,,,,,PA2,,
19106,,,,,PA3,,
19107,,,,,PA3,,
19110,,,,,PA3,,
19111,,,,,PA1,,
19112,,,,,PA3,,
19114,,,,,PA1,,
19115,,,,,PA1,,
19116,,,,,PA1,,
19118,,,,,PA2,,
19119,,,,,PA2,,
19120,,,,,PA2,,
19121,,,,,PA1,,
19122,,,,,PA1,,
19123,,,,,PA3,,
19124,,,,,PA1,,
19125,,,,,PA1,,
19126,,,,,PA2,,
19127,,,,,PA2,,
19128,,,,,PA2,,
19129,,,,,PA2,,
19130,,,,,PA1,,
19131,,,,,PA2,,
19133,,,,,PA1,,
19134,,,,,PA1,,
19135,,,,,PA1,,
19136,,,,,PA1,,
19137,,,,,PA1,,
19138,,,,,PA2,,
19139,,,,,PA3,,
19141,,,,,PA2,,
19142,,,,,PA3,,
19143,,,,,PA3,,
19144,,,,,PA2,,
19145,,,,,PA3,,
19146,,,,,PA3,,
19147,,,,,PA3,,
19148,,,,,PA3,,
19150,,,,,PA2,,
19151,,,,,PA2,,
19152,,,,,PA1,,
19153,,,,,PA3,,
19154,,,,,PA1,,
